"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Permission-Selective_Trust_Model_v3.1_paper.nlogo"
"H3-reappraisal-threshold-sweep-final"
"07/12/2026 21:17:10:737 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","REAPPRAISAL-CREDIBILITY","NUM-STRANGERS","REAPPRAISAL-VISIBILITY","DEVIATION-REWARD","SATURATION-THRESHOLD","[step]","reappraisal-count","reappraisal-elite-n","reappraisal-subculture-n","reappraisal-institutional-n","reappraisal-stranger-n","safe-mean-reappraisal-sim","safe-mean-deviator-sim"
"59","0.007","0","0.9","0.01","0.3","2500","26","0","0","26","0","0.2999999999999999","0.5368581858685129"
"60","0.01","0","0.9","0.01","0.3","2500","197","0","0","197","0","0.36394247038917066","0.5342646392317243"
"61","0.003","0","0.9","0.01","0.3","2500","0","0","0","0","0","-1","0.5365753829165449"
"62","0.005","0","0.9","0.01","0.3","2500","0","0","0","0","0","-1","0.5448588081506823"
"63","0.007","0","0.9","0.01","0.3","2500","11","0","0","11","0","0.3201298701298702","0.549159725674354"
"64","0.01","0","0.9","0.01","0.3","2500","2","0","0","2","0","0.4333333333333334","0.5394385940581022"
"65","0.003","0","0.9","0.01","0.3","2500","0","0","0","0","0","-1","0.5580961584620332"
"66","0.005","0","0.9","0.01","0.3","2500","0","0","0","0","0","-1","0.5509678577474602"
"67","0.007","0","0.9","0.01","0.3","2500","133","0","0","133","0","0.3075534991324466","0.5508271742985166"
"68","0.01","0","0.9","0.01","0.3","2500","273","0","0","273","0","0.34125778982921834","0.5403756452439855"
"69","0.003","0","0.9","0.01","0.3","2500","0","0","0","0","0","-1","0.5343460262481018"
"70","0.005","0","0.9","0.01","0.3","2500","0","0","0","0","0","-1","0.5477177906463324"
"71","0.007","0","0.9","0.01","0.3","2500","182","0","0","182","0","0.29550235478806913","0.5433678420094461"
"72","0.01","0","0.9","0.01","0.3","2500","393","0","0","393","0","0.3532541702007365","0.5416310485193467"
"73","0.003","0","0.9","0.01","0.3","2500","0","0","0","0","0","-1","0.5536611172652548"
"74","0.005","0","0.9","0.01","0.3","2500","0","0","0","0","0","-1","0.5428790607334745"
"75","0.007","0","0.9","0.01","0.3","2500","16","0","0","16","0","0.25","0.5457158987429991"
"76","0.01","0","0.9","0.01","0.3","2500","139","0","0","139","0","0.3055395683453235","0.5410176165178356"
"77","0.003","0","0.9","0.01","0.3","2500","0","0","0","0","0","-1","0.5405850143233434"
"78","0.005","0","0.9","0.01","0.3","2500","0","0","0","0","0","-1","0.5325265154973274"
"79","0.007","0","0.9","0.01","0.3","2500","0","0","0","0","0","-1","0.5437021495433022"
"80","0.01","0","0.9","0.01","0.3","2500","12","0","0","12","0","0.42857142857142855","0.5455295067117745"
"81","0.003","0","0.9","0.01","0.3","2500","0","0","0","0","0","-1","0.5675068986565225"
"82","0.005","0","0.9","0.01","0.3","2500","0","0","0","0","0","-1","0.5347223724247909"
"83","0.007","0","0.9","0.01","0.3","2500","0","0","0","0","0","-1","0.5328000974746319"
"84","0.01","0","0.9","0.01","0.3","2500","107","0","0","107","0","0.4004153686396669","0.5296538693716034"
"85","0.003","0","0.9","0.01","0.3","2500","0","0","0","0","0","-1","0.54391811652633"
"86","0.005","0","0.9","0.01","0.3","2500","0","0","0","0","0","-1","0.5468810716397521"
"87","0.007","0","0.9","0.01","0.3","2500","0","0","0","0","0","-1","0.5504353069396813"
"88","0.01","0","0.9","0.01","0.3","2500","173","0","0","173","0","0.372930544086614","0.5377686178397807"
"89","0.003","0","0.9","0.01","0.3","2500","0","0","0","0","0","-1","0.5416258059992314"
"90","0.005","0","0.9","0.01","0.3","2500","0","0","0","0","0","-1","0.5490023515631853"
"91","0.007","0","0.9","0.01","0.3","2500","63","0","0","63","0","0.29090909090909073","0.552934973870294"
"92","0.01","0","0.9","0.01","0.3","2500","164","0","0","164","0","0.35309620596205954","0.5521697131076835"
"93","0.003","0","0.9","0.01","0.3","2500","0","0","0","0","0","-1","0.5396384182124039"
"94","0.005","0","0.9","0.01","0.3","2500","0","0","0","0","0","-1","0.5604928207377319"
"95","0.007","0","0.9","0.01","0.3","2500","98","0","0","98","0","0.22378684807256236","0.5296229694213256"
"96","0.01","0","0.9","0.01","0.3","2500","123","0","0","123","0","0.3667344173441734","0.5451339533546862"
"97","0.003","0","0.9","0.01","0.3","2500","0","0","0","0","0","-1","0.5476084287002938"
"98","0.005","0","0.9","0.01","0.3","2500","0","0","0","0","0","-1","0.5354403417268202"
"99","0.007","0","0.9","0.01","0.3","2500","0","0","0","0","0","-1","0.5427175222287706"
"100","0.01","0","0.9","0.01","0.3","2500","194","0","0","194","0","0.36884306987399723","0.5535813432720239"
"101","0.003","0","0.9","0.01","0.3","2500","0","0","0","0","0","-1","0.5456187080691662"
"102","0.005","0","0.9","0.01","0.3","2500","0","0","0","0","0","-1","0.5426722244088156"
"103","0.007","0","0.9","0.01","0.3","2500","0","0","0","0","0","-1","0.5412151966053839"
